CID,kmeans_cluster,hierarchical_cluster
15715,1,11
10471,1,11
155761,1,11
17085,1,11
54183197,1,11
12530,1,11
22327,1,11
91948,1,12
23296,22,1
40997,1,11
8430,1,11
14985,1,11
6857529,1,11
5634,6,12
12741,22,12
13187,6,12
8174,22,12
15260,6,12
9877768,1,11
16821,1,11
13561,22,1
2969,6,12
94210,6,12
14256,1,11
93390,6,12
8190,6,12
24752,6,12
3893,1,11
8164,6,12
8158,6,12
13185,1,11
8180,6,12
11529,6,12
7824,6,12
14619934,19,2
102646,6,12
76492,14,2
7819,13,28
12348,6,12
7945,6,12
31276,6,12
8093,6,12
53445481,6,12
7946,6,12
220273,19,11
7000,20,22
19602,0,14
12580,18,23
8698,6,7
8785,18,7
17262,18,7
33781,23,0
6736,23,0
9134,23,0
6854,23,0
798,23,0
9222,23,0
8027,23,0
10249,11,27
607552,19,11
5641,20,22
6919,3,26
13539,6,28
6549,14,2
7794,14,2
29096,14,2
31265,6,12
4458,14,2
12217,6,12
64813,18,7
10393,18,7
103528,18,7
11807,27,4
2724127,27,4
7965,27,4
8111,27,4
3301,27,4
16402,27,4
20473,29,1
6343,29,1
878,29,1
2266,6,12
5192,6,12
12736,1,11
8160,6,12
12813,6,12
10457,6,12
379,6,12
8908,6,12
12293,6,12
94282,6,12
15816,1,12
7714,6,12
557966,19,11
442381,19,11
8777,1,11
14283207,19,11
560947,19,11
23284,19,11
182210,19,11
10569,19,11
242342,19,11
274991,19,11
225688,19,11
612828,19,11
225689,19,11
612782,19,11
221023,19,11
11694869,19,11
86869,19,11
15618,19,11
101602,19,11
244297,19,11
267302,19,11
221064,19,11
238792,19,11
518574,19,11
617007,19,11
516981,19,11
247581,19,11
3032412,19,11
620189,19,11
10117,19,11
22833468,19,11
16040,19,11
10116,19,11
12304198,19,11
4900,19,11
76007601,19,11
78173525,19,11
20758369,19,11
99091,19,11
26318,14,2
8362,19,11
102778,14,2
8606,10,8
34192,10,8
6490,19,11
7958,14,17
28813,19,11
3608,19,11
28809,19,11
62847,6,12
14050,10,8
7795,6,12
7710,6,12
8094,6,12
62838,6,12
14456,24,3
7765,24,3
723,2,5
12699,20,22
1110,2,5
66349,18,26
11443,3,0
177043,18,7
7912,25,4
6053,10,0
13192,10,0
135738785,18,0
7261,20,22
7070,20,22
8413,20,22
7543,20,22
7577,20,22
7102,20,22
7111,20,22
2337,20,22
7814,20,22
936,20,22
69240,18,28
7820,6,28
1018,3,7
75192,11,27
8177,6,12
31288,6,12
8179,6,12
11321244,6,28
86302,6,12
13628003,6,12
121752,6,12
12989,6,12
8200,6,12
8923,6,12
8178,6,12
8172,6,12
25054,6,12
32611,6,12
7635,6,12
422780,25,4
62010,25,4
8132,25,4
8113,25,4
8021,25,4
4837,25,4
17857,27,4
64150,27,4
7704,6,12
8095,6,12
220995,19,11
47326,19,11
119205,19,11
31357,10,3
6506,10,3
89125,6,28
75481,18,28
82744,13,13
17151,6,28
14242,6,12
21896169,6,12
94310,19,11
33528,10,8
19633,14,2
4004,10,8
4618,10,8
991,10,8
7351,6,12
85214,18,7
1474,11,27
12968,10,8
16653,10,8
14215,10,8
76262,27,3
8411,20,22
76004,24,3
4284,10,8
13521,27,4
83756,27,4
6581,27,4
87622,24,3
26049,21,6
91496,21,6
91195,21,6
125339,6,7
12329,6,7
68245,18,7
10039,17,5
9321,17,5
3032552,17,5
19660,17,5
24823,17,5
6163,24,3
768,8,13
2087,7,15
5993,7,15
3224,7,15
13930,7,15
3589,7,15
5284469,7,15
6049,3,19
5541,10,3
408,11,27
409,11,27
942,11,27
15659,27,4
1103,27,4
5565,27,4
6448,21,6
280,17,5
1117,17,5
1119,17,5
24682,17,5
6348,17,5
281,17,5
943,17,5
946,17,5
